state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-01-01,Parts per million,None,24,100.0,Y,0.025708,0.037,15,,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-01-01,Parts per million,None,24,100.0,Y,0.021708,0.034,8,31.0,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-01-01,Parts per million,None,24,100.0,Y,0.021708,0.034,8,31.0,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-01-01,Parts per million,None,17,100.0,Y,0.018882,0.034,8,31.0,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-01-02,Parts per million,None,24,100.0,Y,0.014208,0.03,13,,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-01-02,Parts per million,None,24,100.0,Y,0.017208,0.027,20,25.0,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2020-01-02,Parts per million,None,24,100.0,Y,0.017208,0.027,20,25.0,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2020-01-02,Parts per million,None,17,100.0,Y,0.021765,0.027,20,25.0,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,2020-01-03,Parts per million,None,24,100.0,Y,0.016042,0.028,0,,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
11,001,0041,44201,1,38.895572,-76.958072,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2020-01-03,Parts per million,None,24,100.0,Y,0.012458,0.024,0,22.0,047,INSTRUMENTAL - ULTRA VIOLET,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-08-05
